"activity_id","student_id","date","type","note"
118205,8205,"2011-11-09T01:05:39-08:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quod enim vituperabile est per se ipsum, id eo ipso vitium nominatum puto, vel etiam a vitio dictum vituperari. Maximeque eos videre possumus res gestas audire et legere velle, qui a spe gerendi absunt confecti senectute. Atque his de rebus et splendida est eorum et illustris oratio. Negabat igitur ullam esse artem, quae ipsa a se proficisceretur; Polemoni et iam ante Aristoteli ea prima visa sunt, quae paulo ante dixi. Duo Reges: constructio interrete. Nihil opus est exemplis hoc facere longius. Varietates autem iniurasque fortunae facile veteres philosophorum praeceptis instituta vita superabat. Illis videtur, qui illud non dubitant bonum dicere -; Themistocles quidem, cum ei Simonides an quis alius artem memoriae polliceretur, Oblivionis, inquit, mallem. Unum nescio, quo modo possit, si luxuriosus sit, finitas cupiditates habere. </p>"
128205,8205,"2011-10-11T09:22:16-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Atque hoc loco similitudines eas, quibus illi uti solent, dissimillimas proferebas. Nam illud quidem adduci vix possum, ut ea, quae senserit ille, tibi non vera videantur. Fortitudinis quaedam praecepta sunt ac paene leges, quae effeminari virum vetant in dolore. Mihi autem nihil tam perspicuum videtur, quam has sententias eorum philosophorum re inter se magis quam verbis dissidere; Equidem soleo etiam quod uno Graeci, si aliter non possum, idem pluribus verbis exponere. Quis est, qui non oderit libidinosam, protervam adolescentiam? Duo Reges: constructio interrete. Nihil opus est exemplis hoc facere longius. Quodsi ipsam honestatem undique pertectam atque absolutam. Sin autem ad animum, falsum est, quod negas animi ullum esse gaudium, quod non referatur ad corpus. </p>"
138205,8205,"2010-04-10T21:03:11-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Similiter sensus, cum accessit ad naturam, tuetur illam quidem, sed etiam se tuetur; Tantum dico, magis fuisse vestrum agere Epicuri diem natalem, quam illius testamento cavere ut ageretur. Licet hic rursus ea commemores, quae optimis verbis ab Epicuro de laude amicitiae dicta sunt. Quae quidem sapientes sequuntur duce natura tamquam videntes; Duo Reges: constructio interrete. Quid enim mihi potest esse optatius quam cum Catone, omnium virtutum auctore, de virtutibus disputare? Nec tamen ullo modo summum pecudis bonum et hominis idem mihi videri potest. Atque haec coniunctio confusioque virtutum tamen a philosophis ratione quadam distinguitur. Hic Speusippus, hic Xenocrates, hic eius auditor Polemo, cuius illa ipsa sessio fuit, quam videmus. Atqui eorum nihil est eius generis, ut sit in fine atque extrerno bonorum. Aliter autem vobis placet. </p>"
148205,8205,"2010-10-07T01:23:57-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ita finis bonorum existit secundum naturam vivere sic affectum, ut optime is affici possit ad naturamque accommodatissime. Cur deinde Metrodori liberos commendas? A villa enim, credo, et: Si ibi te esse scissem, ad te ipse venissem. Nam si propter voluptatem, quae est ista laus, quae possit e macello peti? Nihil est enim, de quo aliter tu sentias atque ego, modo commutatis verbis ipsas res conferamus. Est autem officium, quod ita factum est, ut eius facti probabilis ratio reddi possit. Duo Reges: constructio interrete. Ita cum ea volunt retinere, quae superiori sententiae conveniunt, in Aristonem incidunt; Idemque diviserunt naturam hominis in animum et corpus. Nam si dicent ab illis has res esse tractatas, ne ipsos quidem Graecos est cur tam multos legant, quam legendi sunt. Aufidio, praetorio, erudito homine, oculis capto, saepe audiebam, cum se lucis magis quam utilitatis desiderio moveri diceret. Quasi ego id curem, quid ille aiat aut neget. Quid, si non sensus modo ei sit datus, verum etiam animus hominis? Nec enim ignoras his istud honestum non summum modo, sed etiam, ut tu vis, solum bonum videri. </p>"
158205,8205,"2010-03-26T00:28:55-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam e quibus locis quasi thesauris argumenta depromerentur, vestri ne suspicati quidem sunt, superiores autem artificio et via tradiderunt. Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster? Ergo infelix una molestia, fellx rursus, cum is ipse anulus in praecordiis piscis inventus est? Neutrum vero, inquit ille. Ne tum quidem te respicies et cogitabis sibi quemque natum esse et suis voluptatibus? Unum nescio, quo modo possit, si luxuriosus sit, finitas cupiditates habere. </p>"
166093,6093,"2011-05-28T08:57:11-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Item de contrariis, a quibus ad genera formasque generum venerunt. A quibus propter discendi cupiditatem videmus ultimas terras esse peragratas. Primum cur ista res digna odio est, nisi quod est turpis? Duo Reges: constructio interrete. Huic mori optimum esse propter desperationem sapientiae, illi propter spem vivere. Quo tandem modo? Non enim ipsa genuit hominem, sed accepit a natura inchoatum. Idem fecisset Epicurus, si sententiam hanc, quae nunc Hieronymi est, coniunxisset cum Aristippi vetere sententia. Quae in controversiam veniunt, de iis, si placet, disseramus. Quam si explicavisset, non tam haesitaret. Praeteritis, inquit, gaudeo. Nihil est enim, de quo aliter tu sentias atque ego, modo commutatis verbis ipsas res conferamus. Societatem coniunctionis humanae munifice et aeque tuens iustitia dicitur, cui sunt adiunctae pietas, bonitas, liberalitas, benignitas, comitas, quaeque sunt generis eiusdem. </p>"
176093,6093,"2010-12-16T13:25:37-08:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cynicorum autem rationem atque vitam alii cadere in sapientem dicunt, si qui eius modi forte casus inciderit, ut id faciendum sit, alii nullo modo. Ut in voluptate sit, qui epuletur, in dolore, qui torqueatur. Itaque quantum adiit periculum! ad honestatem enim illum omnem conatum suum referebat, non ad voluptatem. At habetur! Et ego id scilicet nesciebam! Sed ut sit, etiamne post mortem coletur? Non quaeritur autem quid naturae tuae consentaneum sit, sed quid disciplinae. Isto modo ne improbos quidem, si essent boni viri. Intellegi quidem, ut propter aliam quampiam rem, verbi gratia propter voluptatem, nos amemus; </p>"
186093,6093,"2010-04-07T05:34:06-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam si pravitatem inminutionemque corporis propter se fugiendam putamus, cur non etiam, ac fortasse magis, propter se formae dignitatem sequamur? Nihilne est in his rebus, quod dignum libero aut indignum esse ducamus? Duo Reges: constructio interrete. Vestri haec verecundius, illi fortasse constantius. Dolor ergo, id est summum malum, metuetur semper, etiamsi non aderit; </p>"
196093,6093,"2011-03-22T15:15:03-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quos nisi redarguimus, omnis virtus, omne decus, omnis vera laus deserenda est. Omnia contraria, quos etiam insanos esse vultis. Duo Reges: constructio interrete. Atque ita re simpliciter primo collocata reliqua subtilius persequentes corporis bona facilem quandam rationem habere censebant; Suam denique cuique naturam esse ad vivendum ducem. Nam cum in Graeco sermone haec ipsa quondam rerum nomina novarum * * non videbantur, quae nunc consuetudo diuturna trivit; An est aliquid, quod te sua sponte delectet? Utrum igitur percurri omnem Epicuri disciplinam placet an de una voluptate quaeri, de qua omne certamen est? Simus igitur contenti his. Esse enim, nisi eris, non potes. </p>"
206093,6093,"2011-04-19T19:06:37-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Somnum denique nobis, nisi requietem corporibus et is medicinam quandam laboris afferret, contra naturam putaremus datum; Primum in nostrane potestate est, quid meminerimus? Potius inflammat, ut coercendi magis quam dedocendi esse videantur. An est aliquid per se ipsum flagitiosum, etiamsi nulla comitetur infamia? Duo Reges: constructio interrete. Ego quoque, inquit, didicerim libentius si quid attuleris, quam te reprehenderim. Dat enim intervalla et relaxat. Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Hic ego: Pomponius quidem, inquam, noster iocari videtur, et fortasse suo iure. Cenasti in vita numquam bene, cum omnia in ista Consumis squilla atque acupensere cum decimano. Cum autem progrediens confirmatur animus, agnoscit ille quidem naturae vim, sed ita, ut progredi possit longius, per se sit tantum inchoata. Ergo in utroque exercebantur, eaque disciplina effecit tantam illorum utroque in genere dicendi copiam. </p>"
217633,7633,"2011-08-11T00:13:31-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Nam adhuc, meo fortasse vitio, quid ego quaeram non perspicis. Duo Reges: constructio interrete. Cur igitur easdem res, inquam, Peripateticis dicentibus verbum nullum est, quod non intellegatur? Quae cum magnifice primo dici viderentur, considerata minus probabantur. Sin eam, quam Hieronymus, ne fecisset idem, ut voluptatem illam Aristippi in prima commendatione poneret. Cur tantas regiones barbarorum pedibus obiit, tot maria transmisit? Et tamen ego a philosopho, si afferat eloquentiam, non asperner, si non habeat, non admodum flagitem. Scaevola tribunus plebis ferret ad plebem vellentne de ea re quaeri. Legimus tamen Diogenem, Antipatrum, Mnesarchum, Panaetium, multos alios in primisque familiarem nostrum Posidonium. Quid enim tanto opus est instrumento in optimis artibus comparandis? Quamquam id quidem, infinitum est in hac urbe; </p>"
227633,7633,"2011-02-03T17:13:19-08:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. In qua si nihil est praeter rationem, sit in una virtute finis bonorum; Id enim volumus, id contendimus, ut officii fructus sit ipsum officium. Dicimus aliquem hilare vivere; Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in maiorem. Num igitur utiliorem tibi hunc Triarium putas esse posse, quam si tua sint Puteolis granaria? Duo Reges: constructio interrete. </p>"
237633,7633,"2010-06-23T05:20:09-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Itaque et manendi in vita et migrandi ratio omnis iis rebus, quas supra dixi, metienda. Semovenda est igitur voluptas, non solum ut recta sequamini, sed etiam ut loqui deceat frugaliter. Inquit, an parum disserui non verbis Stoicos a Peripateticis, sed universa re et tota sententia dissidere? Duo Reges: constructio interrete. Sin autem est in ea, quod quidam volunt, nihil impedit hanc nostram comprehensionem summi boni. Ex quo, id quod omnes expetunt, beate vivendi ratio inveniri et comparari potest. Nec vero audiendus Hieronymus, cui summum bonum est idem, quod vos interdum vel potius nimium saepe dicitis, nihil dolere. Fortitudinis quaedam praecepta sunt ac paene leges, quae effeminari virum vetant in dolore. -, sed ut hoc iudicaremus, non esse in iis partem maximam positam beate aut secus vivendi. Non est enim vitium in oratione solum, sed etiam in moribus. </p>"
247633,7633,"2010-02-20T21:40:58-08:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Deinde prima illa, quae in congressu solemus: Quid tu, inquit, huc? Qui ita affectus, beatum esse numquam probabis; Quid, quod homines infima fortuna, nulla spe rerum gerendarum, opifices denique delectantur historia? Ita multo sanguine profuso in laetitia et in victoria est mortuus. Potius ergo illa dicantur: turpe esse, viri non esse debilitari dolore, frangi, succumbere. Ut nemo dubitet, eorum omnia officia quo spectare, quid sequi, quid fugere debeant? Duo Reges: constructio interrete. Hoc est dicere: Non reprehenderem asotos, si non essent asoti. Tuo vero id quidem, inquam, arbitratu. </p>"
257633,7633,"2010-05-16T00:09:53-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quia, si mala sunt, is, qui erit in iis, beatus non erit. Cur tantas regiones barbarorum pedibus obiit, tot maria transmisit? Quem si tenueris, non modo meum Ciceronem, sed etiam me ipsum abducas licebit. Duo Reges: constructio interrete. Atqui eorum nihil est eius generis, ut sit in fine atque extrerno bonorum. Cuius etiam illi hortuli propinqui non memoriam solum mihi afferunt, sed ipsum videntur in conspectu meo ponere. Ne amores quidem sanctos a sapiente alienos esse arbitrantur. Sit enim idem caecus, debilis. Nam neque virtute retinetur ille in vita, nec iis, qui sine virtute sunt, mors est oppetenda. Istius modi autem res dicere ornate velle puerile est, plane autem et perspicue expedire posse docti et intellegentis viri. Crasso, quem semel ait in vita risisse Lucilius, non contigit, ut ea re minus agelastoj ut ait idem, vocaretur. </p>"
2610408,10408,"2011-10-13T03:43:04-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ex quo intellegitur officium medium quiddam esse, quod neque in bonis ponatur neque in contrariis. Sed in rebus apertissimis nimium longi sumus. Non potes ergo ista tueri, Torquate, mihi crede, si te ipse et tuas cogitationes et studia perspexeris; Quid ait Aristoteles reliquique Platonis alumni? Inquit, an parum disserui non verbis Stoicos a Peripateticis, sed universa re et tota sententia dissidere? Nam si beatus umquam fuisset, beatam vitam usque ad illum a Cyro extructum rogum pertulisset. Duo Reges: constructio interrete. Qua tu etiam inprudens utebare non numquam. </p>"
2710408,10408,"2010-06-20T20:18:11-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quaesita enim virtus est, non quae relinqueret naturam, sed quae tueretur. Hi curatione adhibita levantur in dies, valet alter plus cotidie, alter videt. Hominum non spinas vellentium, ut Stoici, nec ossa nudantium, sed eorum, qui grandia ornate vellent, enucleate minora dicere. Ergo in utroque exercebantur, eaque disciplina effecit tantam illorum utroque in genere dicendi copiam. Et hunc idem dico, inquieta sed ad virtutes et ad vitia nihil interesse. Negat enim summo bono afferre incrementum diem. Duo Reges: constructio interrete. -delector enim, quamquam te non possum, ut ais, corrumpere, delector, inquam, et familia vestra et nomine. </p>"
2810408,10408,"2011-11-09T02:12:30-08:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fadio Gallo, cuius in testamento scriptum esset se ab eo rogatum ut omnis hereditas ad filiam perveniret. Duo Reges: constructio interrete. Ergo opifex plus sibi proponet ad formarum quam civis excellens ad factorum pulchritudinem? Istius modi autem res dicere ornate velle puerile est, plane autem et perspicue expedire posse docti et intellegentis viri. Cum autem progrediens confirmatur animus, agnoscit ille quidem naturae vim, sed ita, ut progredi possit longius, per se sit tantum inchoata. Huic mori optimum esse propter desperationem sapientiae, illi propter spem vivere. Non minor, inquit, voluptas percipitur ex vilissimis rebus quam ex pretiosissimis. Ergo hoc quidem apparet, nos ad agendum esse natos. Torquatus, is qui consul cum Cn. Comprehensum, quod cognitum non habet? Dicuntur ista, Cato, magnifice, inquam, sed videsne verborum gloriam tibi cum Pyrrhone et cum Aristone, qui omnia exaequant, esse communem? Nonne odio multos dignos putamus, qui quodam motu aut statu videntur naturae legem et modum contempsisse? Vide, ne etiam menses! nisi forte eum dicis, qui, simul atque arripuit, interficit. Itaque haec cum illis est dissensio, cum Peripateticis nulla sane. Murenam te accusante defenderem. </p>"
2910408,10408,"2010-03-05T18:53:16-08:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Somnum denique nobis, nisi requietem corporibus et is medicinam quandam laboris afferret, contra naturam putaremus datum; Idque testamento cavebit is, qui nobis quasi oraculum ediderit nihil post mortem ad nos pertinere? Iam id ipsum absurdum, maximum malum neglegi. Duo Reges: constructio interrete. Ad corpus diceres pertinere-, sed ea, quae dixi, ad corpusne refers? Itaque illa non dico me expetere, sed legere, nec optare, sed sumere, contraria autem non fugere, sed quasi secernere. Tuo vero id quidem, inquam, arbitratu. Itaque si aut requietem natura non quaereret aut eam posset alia quadam ratione consequi. Iam id ipsum absurdum, maximum malum neglegi. Claudii libidini, qui tum erat summo ne imperio, dederetur. At iam decimum annum in spelunca iacet. Et quod est munus, quod opus sapientiae? Sic, et quidem diligentius saepiusque ista loquemur inter nos agemusque communiter. Apud ceteros autem philosophos, qui quaesivit aliquid, tacet; </p>"
3010408,10408,"2011-06-22T15:59:54-07:00","Email","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ab hoc autem quaedam non melius quam veteres, quaedam omnino relicta. Primum quid tu dicis breve? Duo Reges: constructio interrete. Scientiam pollicentur, quam non erat mirum sapientiae cupido patria esse cariorem. Nam Metrodorum non puto ipsum professum, sed, cum appellaretur ab Epicuro, repudiare tantum beneficium noluisse; Sed nimis multa. An vero, inquit, quisquam potest probare, quod perceptfum, quod. Modo etiam paulum ad dexteram de via declinavi, ut ad Pericli sepulcrum accederem. Praeclare Laelius, et recte sofñw, illudque vere: O Publi, o gurges, Galloni! es homo miser, inquit. Sed quamquam negant nec virtutes nec vitia crescere, tamen utrumque eorum fundi quodam modo et quasi dilatari putant. </p>"
313887,3887,"2011-03-13T20:30:28-07:00","Drop-in","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cupiditates non Epicuri divisione finiebat, sed sua satietate. Ea, quae dialectici nunc tradunt et docent, nonne ab illis instituta sunt aut inventa sunt? In primo enim ortu inest teneritas ac mollitia quaedam, ut nec res videre optimas nec agere possint. Aufidio, praetorio, erudito homine, oculis capto, saepe audiebam, cum se lucis magis quam utilitatis desiderio moveri diceret. Occultum facinus esse potuerit, gaudebit; Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Potius ergo illa dicantur: turpe esse, viri non esse debilitari dolore, frangi, succumbere. Duo Reges: constructio interrete. At quanta conantur! Mundum hunc omnem oppidum esse nostrum! Incendi igitur eos, qui audiunt, vides. Itaque et manendi in vita et migrandi ratio omnis iis rebus, quas supra dixi, metienda. Te autem hortamur omnes, currentem quidem, ut spero, ut eos, quos novisse vis, imitari etiam velis. </p>"
323887,3887,"2010-04-29T14:21:31-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Dempta enim aeternitate nihilo beatior Iuppiter quam Epicurus; Ab his oratores, ab his imperatores ac rerum publicarum principes extiterunt. Pudebit te, inquam, illius tabulae, quam Cleanthes sane commode verbis depingere solebat. Reicietur etiam Carneades, nec ulla de summo bono ratio aut voluptatis non dolendive particeps aut honestatis expers probabitur. Quo studio Aristophanem putamus aetatem in litteris duxisse? Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; Saepe ab Aristotele, a Theophrasto mirabiliter est laudata per se ipsa rerum scientia; His singulis copiose responderi solet, sed quae perspicua sunt longa esse non debent. Sed quoniam et advesperascit et mihi ad villam revertendum est, nunc quidem hactenus; Duo Reges: constructio interrete. Quis suae urbis conservatorem Codrum, quis Erechthei filias non maxime laudat? </p>"
333887,3887,"2010-06-20T16:35:30-07:00","Phone","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Graece donan, Latine voluptatem vocant. Morbo gravissimo affectus, exul, orbus, egens, torqueatur eculeo: quem hunc appellas, Zeno? Mihi, inquam, qui te id ipsum rogavi? Primum in nostrane potestate est, quid meminerimus? Duo Reges: constructio interrete. Non enim in selectione virtus ponenda erat, ut id ipsum, quod erat bonorum ultimum, aliud aliquid adquireret. </p>"
